,Unnamed: 0,disney plus_flatrate,adult,original_language,amazon prime video_flatrate,genre_ids,google play movies_rent,original_title,netflix_flatrate,kr_theater_note,release_date,popularity,id,overview,vote_average,wavve_buy,google play movies_buy,title,wavve_flatrate,poster_path,wavve_rent,kr_digital_date,netflix standard with ads_flatrate,tving_flatrate,backdrop_path,watcha_flatrate,softcore,video,kr_digital_note,kr_theater_date,vote_count,apple tv_flatrate,filmbox+_flatrate,crunchyroll_flatrate,sun nxt_flatrate,mubi_flatrate,movieme_rent,global_theater_date,global_digital_date
3609,3609,0.0,False,fr,0.0,35,0.0,Challenger,0.0,,2024-10-23,0.349,1148901,,5.69,0.0,0.0,Challenger,0.0,/26e2wtV2x40jiWyGG8lUSaBEmfU.jpg,0.0,,0.0,0.0,/sEj7FzKVgrSSadNVqlFyx4xPglD.jpg,0.0,False,False,,,79,0,0,0,0,0,0,2024-10-23,
3610,3610,0.0,False,it,0.0,35|18,0.0,Scordato,0.0,,2023-04-13,0.4373,860947,,6.123,0.0,0.0,Scordato,0.0,/yaNHMCr11hpWHmLppvPoyvstIij.jpg,0.0,,0.0,0.0,/5ydnBBfnC3R5SLUB6VaAftDVnri.jpg,0.0,False,False,,,73,0,0,0,0,0,0,2023-04-13,
3611,3611,0.0,False,en,0.0,35,0.0,Ricky Gervais: Armageddon,1.0,Netflix,2023-12-25,0.4563,1208476,리키 저베이스가 정치적 올바름과 과민한 사회적 분위기에 대해 논란도 불사하는 거침없는 견해를 쏟아낸다. 인류 종말을 주제로 한 금기 타파 코미디 스페셜.,7.171,0.0,0.0,리키 저베이스: 아마겟돈,0.0,/rnT1Aq92RdhlYMIikuwnwNMaOGu.jpg,0.0,2023-12-25,1.0,0.0,/tEFYrXJXMBSNQNuHKJcobHQ3IRM.jpg,0.0,False,False,Netflix,2023-12-25,219,0,0,0,0,0,0,,2023-12-24
3612,3612,0.0,False,pt,0.0,35,0.0,Meu cunhado é um vampiro,1.0,,2023-12-23,0.4831,1211419,처남이 세계 정복을 꿈꾸는 흡혈귀라는 사실을 알게 된 전직 축구 선수. 소심한 성격이지만 모든 용기를 끌어모아 세상을 구하러 나선다.,5.294,0.0,0.0,내 처남은 뱀파이어,0.0,/w1hyHgP4fyrW9tEqlX472bMgLO9.jpg,0.0,,1.0,0.0,/xJdVOpzJ4SOV8yJQpaIXByZOFh1.jpg,0.0,False,False,,,107,0,0,0,0,0,0,,2023-12-23
3613,3613,0.0,False,fr,0.0,35|12,0.0,Jack Mimoun et les secrets de Val Verde,0.0,,2022-10-12,0.4266,893369,,5.293,0.0,0.0,Jack Mimoun et les secrets de Val Verde,0.0,/vWx3Hi7DZ7VWyjWVf9gySG6Lbq4.jpg,0.0,,0.0,0.0,/iGOKCV5I9kFOLRDL1w4oKIO7YP3.jpg,0.0,False,False,,,227,0,0,0,0,0,0,2022-10-12,2023-05-05
3614,3614,0.0,False,it,0.0,18|36,0.0,Il signore delle formiche,0.0,Busan International Film Festival,2022-10-08,0.6515,840098,"작가인 알도 브라이반티는 청년과 관계했다는 이유로 투옥된다. 한편으로 개미 연구가인 그에게, 개미는 함께해야 길을 잃지 않고, 모든 것을 나누며, 서로를 배신하지 않는 존재다.",7.203,0.0,0.0,개미 대왕,0.0,/zqY1SrVD1WRuNlIRNywKy1TZdCT.jpg,0.0,,0.0,0.0,/tjrKZVwRV418gGrKoenRlNPOAbO.jpg,0.0,False,False,,2022-10-08,214,0,0,0,0,0,0,2022-09-08,
3615,3615,0.0,False,de,0.0,35|18,0.0,Rumspringa,1.0,,2022-04-29,0.4413,956862,"성인이 되는 통과 의례를 맞아 베를린으로 떠난 아미시 소년. 자신의 뿌리와 교류하는 한편, 지금까지와는 다른 삶을 맛보고 사랑도 경험한다. 인생의 중대한 기로에서 그는 어떤 결정을 내릴까?",5.388,0.0,0.0,룸슈프링아,0.0,/tPmr7R2Zq66SXhFcXZiFSJ0Afx8.jpg,0.0,,1.0,0.0,/xORicGgrCluE8piP7jhH61uN1ij.jpg,0.0,False,False,,,67,0,0,0,0,0,0,,2022-04-29
3616,3616,0.0,False,it,0.0,35,0.0,Zamora,0.0,,2024-04-04,0.5962,1066591,,7.104,0.0,0.0,Zamora,0.0,/xS1ZTbiPVMaXrBV4WInEIeJOmQc.jpg,0.0,,0.0,0.0,/3vDIugXUvmeEMvJ6WporaltAyi5.jpg,0.0,False,False,,,82,0,0,0,0,0,0,2024-04-04,
3617,3617,0.0,False,es,1.0,35,0.0,Doblemente embarazada 2,0.0,,2022-08-05,0.407,1001465,"10년 후, 하비에르와 펠리페의 상황은 많이 달라졌다. 이제 딸인 솔과 루나를 돌보는 전업 부모가 된 것이다. 하지만 아버지들은 딸들이 놓치고 있는 것이 하나 있다는 것을 깨닫는다. 바로 엄마 말이다. 아이들의 엄마를 찾기 위해, 이들은 가장 좋은 엄마는 누가 될지를 알아내기 위해 여자 친구들을 가족 여행에 초대한다. 당연하게도 생각처럼 잘 풀리는 일은 없다.",7.5,0.0,0.0,쌍둥이의 두 아빠 2,0.0,/mNkAOFyb4TV2gTSc92jx2O9evtj.jpg,0.0,,0.0,0.0,/e3r5RodzG2mXKePrJHqcYqCCIei.jpg,0.0,False,False,,,62,0,0,0,0,0,0,,2022-08-05
3618,3618,0.0,False,fr,0.0,35,0.0,Les Complices,0.0,,2023-04-12,0.6392,984307,,5.6,0.0,0.0,Les Complices,0.0,/3W6DBswu6Y0AIvIIzQbsVMJHOYV.jpg,0.0,,0.0,0.0,/f3T9iAOXupcNSLP1ZyBUgylMocp.jpg,0.0,False,False,,,99,0,0,0,0,0,0,2023-04-12,2023-08-10
